id,department,major,gender,year_level,gpa,ai_knowledge,ai_utility,teaching_impact,learning_impact,evaluation_impact,process_concerns
1,ENG,ENG - Engineering,Male,2,9.2,8,9,Neutral,"Strongly
Disagree",Disagree,Neutral
2,ENG,ENG - Engineering,Female,2,7.7,7,6,Disagree,Disagree,"Strongly
Disagree",Disagree
3,ENG,ENG - Engineering,Female,2,7.2,5,6,Neutral,Neutral,Neutral,Agree
4,ENG,ENG - Engineering,Male,2,8.2,5,9,"Strongly
Disagree",Disagree,Disagree,Neutral
5,ENG,ENG - Engineering,Male,2,7.7,4,8,Neutral,Disagree,Neutral,Agree
6,ENG,ENG - Engineering,Male,2,7.7,5,6,"Strongly
Disagree",Disagree,Neutral,"Strongly
Disagree"
7,ENG,ENG - Engineering,Male,2,7.2,7,10,"Strongly
Disagree",Disagree,"Strongly
Disagree",Neutral
8,ENG,ENG - Engineering,Female,2,6.7,6,8,Neutral,Neutral,Neutral,Neutral
9,ENG,ENG - Engineering,Male,2,7.7,6,8,Neutral,Disagree,Disagree,"Strongly
Disagree"
10,MATH,MATH - Mathematics,Male,2,8.2,4,7,"Strongly
Disagree","Strongly
Disagree",Neutral,"Strongly
Disagree"
11,MATH,MATH - Mathematics,Male,2,7.7,4,10,Disagree,Disagree,Neutral,Neutral
12,ENG,ENG - Engineering,Female,2,7.7,6,4,Disagree,Disagree,Neutral,Disagree
13,ENG,ENG - Engineering,Male,2,9.7,9,10,Neutral,"Strongly
Disagree",Neutral,Neutral
14,MATH,MATH - Mathematics,Female,1,9.2,9,9,"Strongly
Disagree","Strongly
Disagree",Neutral,Disagree
15,ENG,ENG - Engineering,Male,2,9.2,7,10,Neutral,"Strongly
Disagree",Neutral,Agree
16,MATH,MATH - Mathematics,Male,2,8.2,6,4,Disagree,Disagree,"Strongly
Disagree","Strongly
Disagree"
17,ENG,ENG - Engineering,Female,2,6.2,1,3,"Strongly
Disagree",Disagree,"Strongly
Disagree",Agree
18,MATH,MATH - Mathematics,Female,1,9.2,8,8,"Strongly
Disagree","Strongly
Disagree",Neutral,"Strongly
Disagree"
19,MATH,MATH - Mathematics,Male,2,7.7,7,6,"Strongly
Disagree","Strongly
Disagree",Disagree,Disagree
20,CS,CS - Computer Science,Male,1,8.7,6,6,"Strongly
Disagree",Neutral,Neutral,Disagree
21,MATH,MATH - Mathematics,Male,2,7.2,6,8,"Strongly
Disagree",Disagree,Neutral,Neutral
22,CS,CS - Computer Science,Male,1,8.7,7,4,Disagree,Disagree,Neutral,"Strongly
Disagree"
23,CS,CS - Computer Science,Male,2,7.7,7,7,Neutral,"Strongly
Disagree",Neutral,Disagree
24,CS,CS - Computer Science,Male,2,9.2,5,7,Neutral,Neutral,Neutral,Disagree
25,MATH,MATH - Mathematics,Male,1,7.2,4,6,"Strongly
Disagree",Disagree,Disagree,Neutral
26,CS,CS - Computer Science,Male,2,8.7,5,8,Neutral,"Strongly
Disagree",Neutral,"Strongly
Disagree"
27,MATH,MATH - Mathematics,Male,1,8.2,7,9,Neutral,Disagree,"Strongly
Disagree",Neutral
28,CS,CS - Computer Science,Male,2,8.7,3,7,"Strongly
Disagree",Disagree,Disagree,Neutral
29,MATH,MATH - Mathematics,Male,1,7.7,6,10,Neutral,Disagree,Neutral,Neutral
30,CS,CS - Computer Science,Male,1,7.7,5,4,Disagree,Disagree,"Strongly
Disagree","Strongly
Disagree"
31,ENG,ENG - Engineering,Male,2,7.7,5,7,Neutral,"Strongly
Disagree",Disagree,Neutral
